"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId"
"2025-05-01 07:38:04",1746085084794,"dealpig.vercel.app/","GET","",307,"6k829-1746085084781-ddd08d751dd1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084445,"dealpig.vercel.app/auth/auth-code-error","GET","error=exchange_failed&error_description=invalid+request%3A+both+auth+code+and+code+verifier+should+be+non-empty",-1,"gr9ws-1746085084395-4bc10a3ae476","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Allowing request for /auth/auth-code-error","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084440,"dealpig.vercel.app/auth/auth-code-error","GET","error=exchange_failed&error_description=invalid+request%3A+both+auth+code+and+code+verifier+should+be+non-empty",-1,"gr9ws-1746085084395-4bc10a3ae476","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Pathname: /auth/auth-code-error","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084440,"dealpig.vercel.app/auth/auth-code-error","GET","error=exchange_failed&error_description=invalid+request%3A+both+auth+code+and+code+verifier+should+be+non-empty",-1,"gr9ws-1746085084395-4bc10a3ae476","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Session status: None","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084439,"dealpig.vercel.app/auth/auth-code-error","GET","error=exchange_failed&error_description=invalid+request%3A+both+auth+code+and+code+verifier+should+be+non-empty",-1,"gr9ws-1746085084395-4bc10a3ae476","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Middleware] Attempting to get session...","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084412,"dealpig.vercel.app/auth/auth-code-error","GET","error=exchange_failed&error_description=invalid+request%3A+both+auth+code+and+code+verifier+should+be+non-empty",200,"gr9ws-1746085084395-4bc10a3ae476","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","edge-middleware","/middleware","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084352,"dealpig.vercel.app/api/auth/callback","GET","code=ba3c3a37-9803-47c7-a7f0-fc455350ac5a",-1,"9krb8-1746085083525-666d01bbd531","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","error","production","","MISS","lambda","/api/auth/callback","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Auth Callback] Error exchanging code for session: invalid request: both auth code and code verifier should be non-empty","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084070,"dealpig.vercel.app/api/auth/callback","GET","code=ba3c3a37-9803-47c7-a7f0-fc455350ac5a",-1,"9krb8-1746085083525-666d01bbd531","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","lambda","/api/auth/callback","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Auth Callback] Exchanging code for session...","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:04",1746085084058,"dealpig.vercel.app/api/auth/callback","GET","code=ba3c3a37-9803-47c7-a7f0-fc455350ac5a",-1,"9krb8-1746085083525-666d01bbd531","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","lambda","/api/auth/callback","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",-1,"iad1",-1,-1,"[Auth Callback] Received request. Code: present, Origin: https://dealpig.vercel.app, Next: /","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
"2025-05-01 07:38:03",1746085083654,"dealpig.vercel.app/api/auth/callback","GET","code=ba3c3a37-9803-47c7-a7f0-fc455350ac5a",307,"9krb8-1746085083525-666d01bbd531","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36","info","production","","MISS","lambda","/api/auth/callback","dealpig.vercel.app","dealpig.vercel.app","dpl_HBuXctuiR46f2MDtZQk69LLFcw1o",1119,"iad1",145,1024,"","prj_Jujv4fahniJDHDiCnk7fpKVIcNTy","",""
